component_id;xml_type;property;data_container;actions;invoke;required;visible;enabled;editable_readonly;validator;formatter;generator;lookup_contract;java_references;source_parent;target_parent;allowed_visual_change
generateVacancyNameFieldButton;button;-;-;-;generateNameFieldButton;-;true;-;-;-;-;-;-;invoke=generateNameFieldButton() (метод Java);vacancyNameHBox;edit-card/accordion секция 'Идентификаторы и статус' (row title);stylename,width,reparent
commandFieldHBox;groupBox;-;-;-;-;-;true;-;-;-;-;-;-;-;hboxProject1;edit-accordion-section (+open-position-editor-subsection);stylename,showAsPanel,reparent
closingDateDateField;dateField;closingDate;openPositionDc;-;-;false;true;-;-;-;-;-;-;@Inject DateField<Date> closingDateDateField | @Subscribe("closingDateDateField");closingDateSignFieldsHBox;commandFieldHBox (edit-accordion-section);stylename,width,reparent
signDraftCheckBox;checkBox;signDraft;openPositionDc;-;-;false;true;-;-;-;-;-;-;@Inject CheckBox signDraftCheckBox | @Subscribe("signDraftCheckBox");closingDateSignFieldsHBox;commandFieldHBox (edit-accordion-section);stylename,width,reparent
openClosePositionCheckBox;checkBox;openClose;openPositionDc;-;-;false;false;-;-;-;-;-;-;@Inject CheckBox openClosePositionCheckBox | @Subscribe("openClosePositionCheckBox");closingDateSignFieldsHBox;SAME (скрыто | visible не менять);none
internalProjectCheckBox;checkBox;internalProject;openPositionDc;-;-;false;false;-;-;-;-;-;-;@Inject CheckBox internalProjectCheckBox | setInternalProject();closingDateSignFieldsHBox;SAME (скрыто | visible не менять);none
priorityField;lookupField;priority;openPositionDc;-;-;true;true;-;-;-;-;-;-;@Inject LookupField<Integer> priorityField | @Subscribe("priorityField") | @Install(to="priorityField",subject="optionIconProvider");priorityFieldsHBox;commandFieldHBox (edit-accordion-section);stylename,width,reparent
commentPriority;textField;priorityComment;openPositionDc;-;-;false;true;-;-;-;-;-;-;-;priorityFieldsHBox;commandFieldHBox (edit-accordion-section);stylename,width,reparent
commandOrVacancyGroupBox;groupBox;-;-;-;-;-;true;-;-;-;-;-;-;-;citiesLabelHBox(vbox root);edit-accordion-section;stylename,showAsPanel,reparent
commandOrPosition;radioButtonGroup;commandCandidate;openPositionDc;-;-;true;true;-;-;-;-;-;-;@Inject RadioButtonGroup commandOrPosition | @Subscribe("commandOrPosition");commandOrPositionCellHBox;edit-accordion-section 'Команда / Вакансия' (50/50 c parentOpenPositionField);stylename,width,reparent
parentOpenPositionField;lookupPickerField;parentOpenPosition;openPositionDc;-;-;false;true;-;-;-;-;-;optionsContainer=openPositionParentDc;@Inject LookupPickerField<OpenPosition> parentOpenPositionField | @Subscribe("parentOpenPositionField");parentPositionCellHBox;edit-accordion-section 'Команда / Вакансия' (50/50 c commandOrPosition);stylename,width,reparent
projectTypeGroupBox;groupBox;-;-;-;-;-;true;-;-;-;-;-;-;-;citiesLabelHBox(vbox root);edit-accordion-section 'Проект, компания, должность и локация';stylename,showAsPanel,reparent
positionTypeField;lookupPickerField;positionType;openPositionDc;picker_lookup;-;true;true;-;-;-;-;-;optionsContainer=positionTypesDc;@Inject LookupPickerField<Position> positionTypeField | @Subscribe("positionTypeField" x2) | focusComponent;hboxVacansy;projectTypeGroupBox (edit-accordion-section), row position;stylename,width,reparent
remoteWorkField;lookupField;remoteWork;openPositionDc;-;-;true;true;-;-;-;-;-;-;@Inject LookupField<Integer> remoteWorkField | @Install(to="remoteWorkField",subject="optionIconProvider");remoteWorkFieldsHBox;projectTypeGroupBox (edit-accordion-section), row position;stylename,width,reparent
remoteWorkCommentField;textField;remoteComment;openPositionDc;-;-;false;true;-;-;-;-;-;-;-;remoteWorkFieldsHBox;projectTypeGroupBox (edit-accordion-section), row position (перенос на 2-ю строку);stylename,width,reparent
projectNameField;lookupPickerField;projectName;openPositionDc;picker_lookup,picker_open;-;true;true;-;-;-;-;-;optionsContainer=projectNamesDc;@Inject LookupPickerField<Project> projectNameField | @Subscribe("projectNameField" x2) | initProjectNameField();projectFieldsVBox;projectTypeGroupBox (edit-accordion-section), row half (100%);stylename,width,reparent
onlyOpenProjectCheckBox;checkBox;-;-;-;-;false;true;-;-;-;-;-;-;@Inject CheckBox onlyOpenProjectCheckBox | @Subscribe("onlyOpenProjectCheckBox");projectFilterCheckBoxesHBox;projectTypeGroupBox (edit-accordion-section);stylename,width,reparent
withOpenPositionCheckBox;checkBox;-;-;-;-;false;true;-;-;-;-;-;-;@Inject CheckBox withOpenPositionCheckBox | @Subscribe("withOpenPositionCheckBox");projectFilterCheckBoxesHBox;projectTypeGroupBox (edit-accordion-section);stylename,width,reparent
companyDepartamentField;lookupPickerField;-;-;picker_lookup,picker_open;-;true;true;-;-;-;-;-;optionsContainer=companyDepartamentsDc;@Inject LookupPickerField<CompanyDepartament> companyDepartamentField | @Subscribe("companyDepartamentField");hboxProject;projectTypeGroupBox (edit-accordion-section), row half (100%);stylename,width,reparent
companyNameField;lookupPickerField;-;-;picker_lookup,picker_open;-;true;true;-;-;-;-;-;optionsContainer=companyNamesDc;@Inject LookupPickerField<Company> companyNameField | @Subscribe("companyNameField");hboxCompany;projectTypeGroupBox (edit-accordion-section), row half;stylename,width,reparent
cityOpenPositionField;lookupPickerField;cityPosition;openPositionDc;picker_lookup;-;true;true;-;-;-;-;-;optionsContainer=citiesDc;@Inject LookupPickerField<City> cityOpenPositionField | @Subscribe("cityOpenPositionField");cityFieldsHBox;projectTypeGroupBox (edit-accordion-section), row half;stylename,width,reparent
addCity;button;-;-;-;addListCity;-;true;true;-;-;-;-;-;invoke=addListCity() (метод Java);cityFieldsHBox;projectTypeGroupBox (edit-accordion-section), row half;stylename,width,reparent
citiesLabel;label;-;-;-;-;-;true;-;-;-;-;-;-;@Inject Label<String> citiesLabel | changeCityListsLabel();citiesLabelHBox(50%);edit-sidebar-summary (сводка городов) ИЛИ низ projectTypeGroupBox;stylename,width,reparent
personnelCountGroupBox;groupBox;-;-;-;-;-;true;-;-;-;-;-;-;-;citiesLabelHBox(vbox root);edit-accordion-section 'Количество персонала' (2-колоночная пара с salaryGroupBox);stylename,showAsPanel,reparent
numberPositionField;textField;numberPosition;openPositionDc;-;-;true;true;-;-;-;-;-;-;@Inject TextField<Integer> numberPositionField;numberPositionHBox;personnelCountGroupBox (edit-accordion-section);stylename,width,reparent
more10NumberPositionField;checkBox;more10NumberPosition;openPositionDc;-;-;false;true;-;-;-;-;-;-;@Subscribe("more10NumberPositionField");numberPositionHBox;personnelCountGroupBox (edit-accordion-section);stylename,width,reparent
salaryGroupBox;groupBox;-;-;-;-;-;true;-;-;-;-;-;-;-;citiesLabelHBox(vbox root);edit-accordion-section 'Заработная плата' (2-колоночная пара с personnelCountGroupBox);stylename,showAsPanel,reparent
openPositionFieldSalaryMin;textField;salaryMin;openPositionDc;-;-;false;true;-;-;validator(мин<=макс);-;-;-;@Inject TextField<BigDecimal> openPositionFieldSalaryMin | @Subscribe x2 | @Install(to="openPositionFieldSalaryMin",subject="validator");hboxSalary;salaryGroupBox (edit-accordion-section), row salary;stylename,width,reparent
openPositionFieldSalaryMax;textField;salaryMax;openPositionDc;-;-;false;true;-;-;validator(мин<=макс);-;-;-;@Inject TextField<BigDecimal> openPositionFieldSalaryMax | @Subscribe x2 | @Install(to="openPositionFieldSalaryMax",subject="validator");hboxSalary;salaryGroupBox (edit-accordion-section), row salary;stylename,width,reparent
openPositionFieldSalaryIE;textField;salaryIE;openPositionDc;-;-;false;true;-;-;-;-;-;-;@Inject TextField<BigDecimal> openPositionFieldSalaryIE;hboxSalary;salaryGroupBox (edit-accordion-section), row salary;stylename,width,reparent
salaryCandidateRequestCheckBox;checkBox;salaryCandidateRequest;openPositionDc;-;-;false;true;-;-;-;-;-;-;@Subscribe("salaryCandidateRequestCheckBox");hboxSalary;salaryGroupBox (edit-accordion-section), row salary;stylename,width,reparent
salaryCommentTextFiels;textField;salaryComment;openPositionDc;-;-;false;true;-;-;-;-;-;-;@Inject TextField<String> salaryCommentTextFiels;space2Box;salaryGroupBox (edit-accordion-section), row wide;stylename,width,reparent
salaryStrongLimitCheckBox;checkBox;salaryFixLimit;openPositionDc;-;-;false;true;-;-;-;-;-;-;-;space2Box;salaryGroupBox (edit-accordion-section), row wide;stylename,width,reparent
vacancyTitleSpacerHBox;hbox;-;-;-;-;-;true;-;-;-;-;-;-;-;citiesLabelHBox(vbox root);SAME (скрыть визуально через SCSS/visible | не удалять компонент);stylename,visible(визуально)
lastOpenVacancyDateField;dateField;lastOpenDate;openPositionDc;-;-;false;false;-;-;-;-;-;-;@Inject DateField<Date> lastOpenVacancyDateField;layout(root);SAME (скрыто | visible не менять);none
laborAgreementGroupBox;groupBox;-;-;-;-;-;true;-;-;-;-;-;-;-;laborAgreementTab;edit-accordion-section;stylename,showAsPanel,reparent
registrationForWorkField;lookupField;registrationForWork;openPositionDc;-;-;true;true;-;-;-;-;-;-;@Inject LookupField<Integer> registrationForWorkField | @Install(optionIconProvider) | @Install(optionStyleProvider);outstaffParamsHBox;laborAgreementTab (edit-accordion-section), параметры оформления;stylename,width,reparent
outstaffingCostTextField;textField;outstaffingCost;openPositionDc;-;-;false;true;-;-;-;-;-;-;@Inject TextField<BigDecimal> outstaffingCostTextField;outstaffParamsHBox;laborAgreementTab (edit-accordion-section), параметры оформления;stylename,width,reparent
setSalaryFieldButton;button;-;-;-;setSalaryFieldButtonInvoke;-;true;-;-;-;-;-;-;invoke=setSalaryFieldButtonInvoke() (метод Java);outstaffParamsHBox;laborAgreementTab (edit-accordion-section), параметры оформления;stylename,width,reparent
laborAgreementDataGrid;dataGrid;-;laborAgreementDc;create,edit,remove;-;-;true;-;editorEnabled=true;-;-;-;-;@Inject laborAgreementDc/laborAgreementDl | загрузка: loadLaborAgreement();laborAgreementGroupBox;laborAgreementTab, табличная секция (open-position-editor-table-variant5);stylename,width,reparent
createBtn;button;-;-;action=laborAgreementDataGrid.create;-;-;true;-;-;-;-;-;-;-;laborAgreementButtonsPanel;laborAgreementTab, buttonsPanel (визуально);stylename
editBtn;button;-;-;action=laborAgreementDataGrid.edit;-;-;true;-;-;-;-;-;-;-;laborAgreementButtonsPanel;laborAgreementTab, buttonsPanel (визуально);stylename
removeBtn;button;-;-;action=laborAgreementDataGrid.remove;-;-;true;-;-;-;-;-;-;-;laborAgreementButtonsPanel;laborAgreementTab, buttonsPanel (визуально);stylename
tabPayments;tab;-;-;-;-;-;false;-;-;-;-;-;-;@Named("tabSheetOpenPosition.tabPayments") VBoxLayout tabPayments;tabSheetOpenPosition;SAME (вкладка остаётся скрытой | контент визуально переносится в laborAgreementTab);reparent(контента), visible НЕ менять
groupBoxPaymentsResearcher;groupBox;-;-;-;-;-;true;-;-;-;-;-;-;@Inject GroupBoxLayout groupBoxPaymentsResearcher;tabPayments;laborAgreementTab (edit-accordion-section 'Оплата ресерчерам');stylename,showAsPanel,reparent
labelResearcherSalary;label;-;-;-;-;-;true;-;-;-;-;-;-;@Inject Label<String> labelResearcherSalary | @Subscribe("labelResearcherSalary") | setResearcherSalaryLabel();groupBoxPaymentsResearcher;laborAgreementTab (секция оплаты ресерчерам);stylename,width,reparent
groupBoxPaymentsRecrutier;groupBox;-;-;-;-;-;true;-;-;-;-;-;-;@Inject GroupBoxLayout groupBoxPaymentsRecrutier;tabPayments;laborAgreementTab (edit-accordion-section 'Оплата рекрутерам');stylename,showAsPanel,reparent
labelRecrutierSalary;label;-;-;-;-;-;true;-;-;-;-;-;-;@Inject Label<String> labelRecrutierSalary | @Subscribe("labelRecrutierSalary") | setRecrutierSalaryLabel();groupBoxPaymentsRecrutier;laborAgreementTab (секция оплаты рекрутерам);stylename,width,reparent
groupBoxPaymentsDetail;groupBox;-;-;-;-;-;true;-;-;-;-;-;-;@Inject GroupBoxLayout groupBoxPaymentsDetail;tabPayments;laborAgreementTab (edit-accordion-section 'Детали оплаты');stylename,showAsPanel,reparent (collapsed=true сохраняется)
radioButtonGroupPaymentsType;radioButtonGroup;typeCompanyComission;openPositionDc;-;-;false;true;-;-;-;-;-;-;@Inject RadioButtonGroup radioButtonGroupPaymentsType | @Subscribe("radioButtonGroupPaymentsType");companyPaymentsVBox;laborAgreementTab (секция 'Оплата компании', 3 колонки);stylename,width,reparent
checkBoxUseNDFL;checkBox;useTaxNDFL;openPositionDc;-;-;false;true;-;-;-;-;-;-;@Inject CheckBox checkBoxUseNDFL | @Subscribe("checkBoxUseNDFL");companyPaymentsVBox;laborAgreementTab (секция 'Оплата компании');stylename,width,reparent
textFieldPercentOrSum;textField;percentComissionOfCompany;openPositionDc;-;-;false;true;-;-;-;-;-;-;@Inject TextField<String> textFieldPercentOrSum | @Subscribe("textFieldPercentOrSum");companyPercentFieldsVBox;laborAgreementTab (секция 'Оплата компании');stylename,width,reparent
textFieldCompanyPayment;textField;-;-;-;-;false;true;-;-;-;-;-;-;@Inject TextField<String> textFieldCompanyPayment (расчётное, без dataContainer);companyPercentFieldsVBox;laborAgreementTab (секция 'Оплата компании');stylename,width,reparent
radioButtonGroupResearcherSalary;radioButtonGroup;typeSalaryOfRecrutier;openPositionDc;-;-;false;true;-;-;-;-;-;-;@Inject RadioButtonGroup radioButtonGroupResearcherSalary | @Subscribe("radioButtonGroupResearcherSalary");researcherPaymentsVBox;laborAgreementTab (секция 'Оплата ресерчерам');stylename,width,reparent
textFieldResearcherSalaryPercentOrSum;textField;percentSalaryOfResearcher;openPositionDc;-;-;false;true;-;-;-;-;-;-;@Inject TextField<String> textFieldResearcherSalaryPercentOrSum | @Subscribe("textFieldResearcherSalaryPercentOrSum");researcherPercentFieldsVBox;laborAgreementTab (секция 'Оплата ресерчерам');stylename,width,reparent
textFieldResearcherSalary;textField;-;-;-;-;false;true;-;-;-;-;-;-;@Inject TextField<String> textFieldResearcherSalary | @Subscribe("textFieldResearcherSalary") (расчётное);researcherPercentFieldsVBox;laborAgreementTab (секция 'Оплата ресерчерам');stylename,width,reparent
radioButtonGroupRecrutierSalary;radioButtonGroup;typeSalaryOfResearcher;openPositionDc;-;-;false;true;-;-;-;-;-;-;@Inject RadioButtonGroup radioButtonGroupRecrutierSalary | @Subscribe("radioButtonGroupRecrutierSalary");recrutierPaymentsVBox;laborAgreementTab (секция 'Оплата рекрутерам');stylename,width,reparent
textFieldRecrutierPercentOrSum;textField;percentSalaryOfRecrutier;openPositionDc;-;-;false;true;-;-;-;-;-;-;@Inject TextField<String> textFieldRecrutierPercentOrSum | @Subscribe("textFieldRecrutierPercentOrSum");recrutierPercentFieldsVBox;laborAgreementTab (секция 'Оплата рекрутерам');stylename,width,reparent
textFieldRecrutierSalary;textField;-;-;-;-;false;true;-;-;-;-;-;-;@Inject TextField<String> textFieldRecrutierSalary | @Subscribe("textFieldRecrutierSalary") (расчётное);recrutierPercentFieldsVBox;laborAgreementTab (секция 'Оплата рекрутерам');stylename,width,reparent
workExperienceGroupBox;groupBox;-;-;-;-;-;true;-;-;-;-;-;-;-;jobDescriptionVBox;edit-accordion-section (сохранить collapsed);stylename,showAsPanel,reparent (collapsed=true сохраняется)
workExperienceRadioButton;radioButtonGroup;workExperience;openPositionDc;-;-;true;true;-;-;-;-;-;-;@Inject RadioButtonGroup workExperienceRadioButton | setWorkExperienceRadioButton();workExperienceGroupBox;workExperienceGroupBox (edit-accordion-section);stylename,width,reparent
commanExperienceRadioButton;radioButtonGroup;commandExperience;openPositionDc;-;-;false;false;-;-;-;-;-;-;@Inject RadioButtonGroup commanExperienceRadioButton;workExperienceGroupBox;SAME (скрыто | visible не менять);none
openPositionAccordion;accordion;-;-;-;-;-;true;-;-;-;-;-;-;-;descriptionsAccordionHBox;tabJobDescription (edit-accordion-section 'Описания');stylename,width,reparent
openPositionRichTextArea;richTextArea;comment;openPositionDc;-;-;true;true;-;-;-;-;-;-;@Inject RichTextArea openPositionRichTextArea | @Subscribe x2 | loadMainTabLobs();openPositionRuTabAccordion;openPositionAccordion (edit-form-control + richtext-variant5);stylename,width,height,reparent
openPositionEnRichTextArea;richTextArea;commentEn;openPositionDc;-;-;false;true;-;-;-;-;-;-;loadMainTabLobs();openPositionEnTabAccordion;openPositionAccordion (edit-form-control + richtext-variant5);stylename,width,height,reparent
openPositionStandartDescriptionRichTextArea;richTextArea;-;-;-;-;false;true;-;editable=false;-;-;-;-;@Inject RichTextArea openPositionStandartDescriptionRichTextArea | standartDescriptionDisable();openPositionStandartDescriptionAccorden;openPositionAccordion (edit-form-control + richtext-variant5);stylename,width,height,reparent
openPositionWhoIsThisGuyRichTextArea;richTextArea;-;-;-;-;false;true;-;editable=false;-;-;-;-;@Inject RichTextArea openPositionWhoIsThisGuyRichTextArea | whiIsThisGuyDisable();openPositionWhoIsThisGuyAccorden;openPositionAccordion (edit-form-control + richtext-variant5);stylename,width,height,reparent
openPositionStandartDescriptionAccorden;tab(accordion);-;-;-;-;-;true;-;-;-;-;-;-;@Named("openPositionAccordion.openPositionStandartDescriptionAccorden") VBoxLayout;openPositionAccordion;SAME (путь @Named сохраняется);none
openPositionWhoIsThisGuyAccorden;tab(accordion);-;-;-;-;-;true;-;-;-;-;-;-;@Named("openPositionAccordion.openPositionWhoIsThisGuyAccorden") VBoxLayout;openPositionAccordion;SAME (путь @Named сохраняется);none
shortDescriptionTextArea;textField;shortDescription;openPositionDc;-;-;false;true;-;maxLength=250;-;-;-;-;@Inject TextField<String> shortDescriptionTextArea;shortDescriptionHBox;tabJobDescription (edit-form-control, row wide);stylename,width,reparent
scanJDButton;button;-;-;-;addShortDescription;-;true;-;-;-;-;-;-;invoke=addShortDescription() (метод Java);shortDescriptionHBox;tabJobDescription (row wide);stylename,width,reparent
someFilesTable;table;-;someFilesesDc;add,create,edit,remove;-;-;true;-;-;-;-;-;-;@Inject someFilesesDc/someFilesesDl | @Install(to="someFilesTable.create",subject="newEntitySupplier") | loadSomeFiles();someFilesVbox;tabFiles (open-position-editor-table-variant5);stylename,width,reparent
someFilesCreateBtn;button;-;-;action=someFilesTable.create;-;-;true;-;-;-;-;-;-;-;someFilesButtonsPanel;tabFiles, buttonsPanel (визуально);stylename
someFilesEditBtn;button;-;-;action=someFilesTable.edit;-;-;true;-;-;-;-;-;-;-;someFilesButtonsPanel;tabFiles, buttonsPanel (визуально);stylename
someFilesRemoveBtn;button;-;-;action=someFilesTable.remove;-;-;true;-;-;-;-;-;-;-;someFilesButtonsPanel;tabFiles, buttonsPanel (визуально);stylename
needExerciseCheckBox;checkBox;needExercise;openPositionDc;-;-;false;true;-;-;-;-;-;-;@Inject CheckBox needExerciseCheckBox | @Subscribe("needExerciseCheckBox");exerciseVbox;tabExercise (edit-form-control-строка);stylename,width,reparent
exerciseRichTextArea;richTextArea;exercise;openPositionDc;-;-;false;true;-;-;-;-;-;-;@Inject RichTextArea exerciseRichTextArea | loadExerciseLob();exerciseVbox;tabExercise (edit-form-control + richtext-variant5);stylename,width,height,reparent
needMemoCheckBox;checkBox;needMemoForInterview;openPositionDc;-;-;false;true;-;-;-;-;-;-;@Inject CheckBox needMemoCheckBox;memoVbox;tabMemoForInterview (edit-form-control-строка);stylename,width,reparent
memoForInterviewRichTextArea;richTextArea;memoForInterview;openPositionDc;-;-;false;true;-;-;-;-;-;-;@Inject RichTextArea memoForInterviewRichTextArea | @Subscribe("memoForInterviewRichTextArea") | loadMemoForInterviewLob();memoVbox;tabMemoForInterview (edit-form-control + richtext-variant5);stylename,width,height,reparent
needLetterCheckBox;checkBox;needLetter;openPositionDc;-;-;false;true;-;-;-;-;-;-;-;templateLetterBox;tabTemplateLetter (edit-form-control-строка);stylename,width,reparent
templateLetterRichTextArea;richTextArea;templateLetter;openPositionDc;-;-;false;true;-;-;-;-;-;-;@Inject RichTextArea templateLetterRichTextArea | @Subscribe("templateLetterRichTextArea") | loadTemplateLetterLob();templateLetterBox;tabTemplateLetter (edit-form-control + richtext-variant5);stylename,width,height,reparent
rescanSkills;button;-;-;-;rescanJobDescription;-;true;-;-;-;-;-;-;invoke=rescanJobDescription() (метод Java);skillsBox;tabSkills;stylename,width,reparent
openPositionSkillsListTable;treeDataGrid;-;openPositionSkillsListsDc;-;-;-;true;-;-;-;-;columnGenerator(isComment) | styleProvider(isComment) | rowDescriptionProvider;hierarchyProperty=skillTree | hierarchyColumn=skillName;@Inject TreeDataGrid<SkillTree> openPositionSkillsListTable | @Install x3 | loadSkillsList();skillsBox;tabSkills (open-position-editor-table-variant5);stylename,width,reparent
openPostionNewsDataGrid;dataGrid;-;openPositionNewsDc;create,remove;-;-;true;-;-;-;detailsGenerator;-;-;@Inject DataGrid<OpenPositionNews> openPostionNewsDataGrid | @Install(to="openPostionNewsDataGrid",subject="detailsGenerator") | setOpenPositionNews();openPostitonNewsBrowseBox;tabOpenPositionNews (open-position-editor-table-variant5);stylename,width,reparent
addOpenPositionNewsButton;button;-;-;-;addOpenPositionNewsButton;-;true;-;-;-;-;-;-;invoke=addOpenPositionNewsButton() (метод Java);openPositionNewsButtonsPanel;tabOpenPositionNews, buttonsPanel (визуально);stylename
removeOpenPositionNewsButton;button;-;-;action=openPostionNewsDataGrid.remove;-;-;true;-;-;-;-;-;-;-;openPositionNewsButtonsPanel;tabOpenPositionNews, buttonsPanel (визуально);stylename
priorityNewsCheckBox;checkBox;-;-;-;-;false;true;-;-;-;-;-;-;@Subscribe("priorityNewsCheckBox");openPostitonNewsBrowseBox;tabOpenPositionNews;stylename,width,reparent
procActionsBox;groupBox;-;-;-;-;-;true;-;-;-;-;-;-;-;tabApproval;edit-accordion-section;stylename,showAsPanel,reparent
procActionsFragment;fragment;-;-;-;-;-;true;-;-;-;-;-;screen=bpm_ProcActionsFragment;@Inject ProcActionsFragment procActionsFragment;procActionsBox;procActionsBox (edit-accordion-section);stylename,width,reparent
commentsScrollBox;scrollBox;-;-;-;-;-;true;-;-;-;-;-;-;@Inject ScrollBoxLayout commentsScrollBox | loadCommentsTab();commentsTab;commentsTab (edit-accordion-section 'Комментарии');stylename,width,reparent
tabOpenPosition;tab;-;-;-;-;-;true;-;-;-;-;-;-;@Inject TabSheet tabSheetOpenPosition (родитель) | @Subscribe("tabSheetOpenPosition");tabSheetOpenPosition;SAME;stylename(edit-tabs на TabSheet), визуальное оформление tab bar | visible НЕ менять
laborAgreementTab;tab;-;-;-;-;-;true;-;-;-;-;-;-;-;tabSheetOpenPosition;SAME;stylename(edit-tabs на TabSheet), визуальное оформление tab bar | visible НЕ менять
tabPayments;tab;-;-;-;-;-;false;-;-;-;-;-;-;@Named("tabSheetOpenPosition.tabPayments");tabSheetOpenPosition;SAME (вкладка остаётся скрытой | контент в laborAgreementTab);stylename(edit-tabs на TabSheet), визуальное оформление tab bar | visible НЕ менять
tabJobDescription;tab;-;-;-;-;-;true;-;-;-;-;-;-;-;tabSheetOpenPosition;SAME;stylename(edit-tabs на TabSheet), визуальное оформление tab bar | visible НЕ менять
tabFiles;tab;-;-;-;-;-;true;-;-;-;-;-;-;-;tabSheetOpenPosition;SAME;stylename(edit-tabs на TabSheet), визуальное оформление tab bar | visible НЕ менять
tabExercise;tab;-;-;-;-;-;true;-;-;-;-;-;-;-;tabSheetOpenPosition;SAME;stylename(edit-tabs на TabSheet), визуальное оформление tab bar | visible НЕ менять
tabMemoForInterview;tab;-;-;-;-;-;true;-;-;-;-;-;-;-;tabSheetOpenPosition;SAME;stylename(edit-tabs на TabSheet), визуальное оформление tab bar | visible НЕ менять
tabTemplateLetter;tab;-;-;-;-;-;true;-;-;-;-;-;-;-;tabSheetOpenPosition;SAME;stylename(edit-tabs на TabSheet), визуальное оформление tab bar | visible НЕ менять
tabSkills;tab;-;-;-;-;-;true;-;-;-;-;-;-;-;tabSheetOpenPosition;SAME;stylename(edit-tabs на TabSheet), визуальное оформление tab bar | visible НЕ менять
tabOpenPositionNews;tab;-;-;-;-;-;true;-;-;-;-;-;-;-;tabSheetOpenPosition;SAME;stylename(edit-tabs на TabSheet), визуальное оформление tab bar | visible НЕ менять
tabApproval;tab;-;-;-;-;-;true;-;-;-;-;-;-;-;tabSheetOpenPosition;SAME;stylename(edit-tabs на TabSheet), визуальное оформление tab bar | visible НЕ менять
commentsTab;tab;-;-;-;-;-;true;-;-;-;-;-;-;-;tabSheetOpenPosition;SAME;stylename(edit-tabs на TabSheet), визуальное оформление tab bar | visible НЕ менять
ownerTextField;textField;owner;openPositionDc;-;-;false;true;enable=false;editable=false;-;-;-;-;@Inject TextField<ExtUser> ownerTextField;statusHBox;edit-footer-actions (статус владельца слева);stylename,width,reparent
subscribePositionButton;button;-;-;-;subscribePosition;-;true;-;-;-;-;-;-;invoke=subscribePosition() (метод Java);editActions;edit-footer-actions (open-position-editor-footer);stylename,width,reparent
windowCommitAndCloseButton;button;-;-;action=windowCommitAndClose;-;-;true;-;-;-;-;-;-;-;editActions;edit-footer-actions (open-position-editor-primary-action);stylename,width,reparent
windowCloseButton;button;-;-;action=windowClose;-;-;true;-;-;-;-;-;-;-;editActions;edit-footer-actions (open-position-editor-secondary-action);stylename,width,reparent
